Log_ID,Table_Name,Operation,Changed_By,Changed_At,Old_Data,New_Data
1,Accused,INSERT,71,2019-09-24 20:30:51,{},"{""Status"": ""Under Investigation""}"
2,FIR,INSERT,203,2020-08-25 21:37:57,{},"{""Status"": ""Closed""}"
3,FIR,UPDATE,34,2022-11-04 14:43:53,"{""Status"": ""Under Investigation""}","{""Status"": ""Closed""}"
4,FIR,INSERT,258,2023-04-03 17:13:16,{},"{""Status"": ""Closed""}"
5,Complaint,INSERT,235,2019-08-15 22:19:20,{},"{""Status"": ""Under Investigation""}"
6,FIR_Accused,INSERT,15,2019-07-11 07:28:35,{},"{""Status"": ""Under Investigation""}"
7,Case_Status,UPDATE,171,2019-06-25 16:07:35,"{""Status"": ""Under Investigation""}","{""Status"": ""Closed""}"
8,FIR,INSERT,259,2021-10-29 03:47:39,{},"{""Status"": ""Closed""}"
9,Complaint,INSERT,216,2022-05-23 20:12:04,{},"{""Status"": ""Closed""}"
10,Accused,INSERT,145,2023-03-08 17:35:46,{},"{""Status"": ""Closed""}"
11,FIR_Accused,INSERT,47,2021-04-13 19:29:46,{},"{""Status"": ""Closed""}"
12,Accused,INSERT,142,2022-04-29 07:40:44,{},"{""Status"": ""Under Investigation""}"
13,Complaint,INSERT,10,2021-06-14 02:23:16,{},"{""Status"": ""Under Investigation""}"
14,FIR_Accused,INSERT,65,2021-05-25 13:27:37,{},"{""Status"": ""Under Investigation""}"
15,Suspects,INSERT,42,2020-04-09 15:10:31,{},"{""Status"": ""Closed""}"
16,Case_Status,UPDATE,89,2019-11-19 13:12:34,"{""Status"": ""Under Investigation""}","{""Status"": ""Under Investigation""}"
17,Complaint,INSERT,130,2021-05-20 01:09:15,{},"{""Status"": ""Under Investigation""}"
18,FIR,UPDATE,192,2019-06-21 01:37:52,"{""Status"": ""Open""}","{""Status"": ""Closed""}"
19,FIR,INSERT,247,2023-04-23 09:30:07,{},"{""Status"": ""Under Investigation""}"
20,FIR,UPDATE,97,2023-07-11 05:41:16,"{""Status"": ""Under Investigation""}","{""Status"": ""Closed""}"
21,Complaint,INSERT,35,2023-09-24 12:02:55,{},"{""Status"": ""Closed""}"
22,FIR,INSERT,38,2021-08-29 14:16:50,{},"{""Status"": ""Under Investigation""}"
23,FIR,INSERT,149,2022-03-25 01:22:17,{},"{""Status"": ""Under Investigation""}"
24,FIR,INSERT,138,2020-05-10 08:15:46,{},"{""Status"": ""Closed""}"
25,Complaint,INSERT,4,2019-04-26 23:13:33,{},"{""Status"": ""Under Investigation""}"
26,FIR_Accused,INSERT,36,2022-11-04 15:15:46,{},"{""Status"": ""Closed""}"
27,Complaint,INSERT,85,2019-04-17 21:02:15,{},"{""Status"": ""Closed""}"
28,FIR_Accused,INSERT,237,2020-10-08 02:17:08,{},"{""Status"": ""Closed""}"
29,FIR,UPDATE,102,2020-06-29 20:15:53,"{""Status"": ""Under Investigation""}","{""Status"": ""Closed""}"
30,Accused,INSERT,21,2019-12-13 11:57:18,{},"{""Status"": ""Under Investigation""}"
