Outcome_ID,FIR_ID,Outcome,Outcome_Date,Remarks
1,4,Case Closed,29-04-2020 05:00,
2,5,Case Closed,08-01-2020 21:00,
3,6,Case Closed,30-03-2020 03:00,
4,7,Case Closed,24-03-2020 16:00,
5,11,Case Closed,01-02-2020 13:00,
6,13,Case Closed,29-02-2020 16:00,
7,16,Case Closed,30-03-2020 07:00,
8,19,Case Closed,24-01-2020 20:00,
9,20,Case Closed,05-03-2020 18:00,
10,21,Case Closed,22-01-2020 22:00,
11,22,Case Closed,03-03-2020 12:00,
12,26,Case Closed,12-03-2020 16:00,
13,32,Case Closed,18-03-2020 13:00,
14,37,Case Closed,02-07-2020 05:00,
15,39,Case Closed,11-03-2020 23:00,
16,40,Case Closed,15-01-2020 02:00,
17,43,Case Closed,17-03-2020 03:00,
18,45,Case Closed,12-01-2020 19:00,
19,48,Case Closed,14-03-2020 17:00,
20,51,Case Closed,13-04-2020 05:00,
21,52,Case Closed,14-04-2020 12:00,
22,53,Case Closed,20-01-2020 00:00,
23,57,Case Closed,20-07-2020 01:00,
24,60,Case Closed,31-03-2020 18:00,
25,62,Case Closed,09-02-2020 21:00,
26,63,Case Closed,15-03-2020 20:00,
27,64,Case Closed,20-03-2020 06:00,
28,66,Case Closed,15-03-2020 14:00,
29,68,Case Closed,02-05-2020 20:00,
30,69,Case Closed,17-01-2020 09:00,
31,72,Case Closed,23-03-2020 18:00,
32,74,Case Closed,20-01-2020 05:00,
33,76,Case Closed,26-01-2020 00:00,
34,78,Case Closed,29-03-2020 21:00,
35,80,Case Closed,15-01-2020 03:00,
36,81,Case Closed,04-03-2020 03:00,
37,83,Case Closed,21-03-2020 12:00,
38,84,Case Closed,20-01-2020 19:00,
39,86,Case Closed,11-03-2020 17:00,
40,87,Case Closed,18-01-2020 06:00,
41,93,Case Closed,01-04-2020 16:00,
42,97,Case Closed,12-02-2020 02:00,
43,99,Case Closed,23-01-2020 23:00,
44,100,Case Closed,22-01-2020 20:00,
45,101,Case Closed,14-01-2020 23:00,
46,104,Case Closed,19-02-2020 16:00,
47,106,Case Closed,22-02-2020 00:00,
48,108,Case Closed,09-02-2020 12:00,
49,111,Case Closed,16-02-2020 04:00,
50,113,Case Closed,08-11-2021 09:00,
51,115,Case Closed,03-02-2020 13:00,
52,117,Case Closed,13-03-2020 04:00,
53,118,Case Closed,30-03-2020 20:00,
54,119,Case Closed,27-02-2020 19:00,
55,120,Case Closed,27-01-2020 02:00,
56,121,Case Closed,22-01-2020 14:00,
57,122,Case Closed,06-04-2020 19:00,
58,128,Case Closed,01-04-2020 04:00,
59,130,Case Closed,20-05-2020 14:00,
60,137,Case Closed,23-01-2020 23:00,
61,140,Case Closed,06-02-2020 16:00,
62,142,Case Closed,27-03-2020 23:00,
63,144,Case Closed,04-02-2020 06:00,
64,147,Case Closed,26-01-2020 16:00,
65,149,Case Closed,27-02-2020 06:00,
66,150,Case Closed,03-04-2020 08:00,
67,151,Case Closed,27-03-2020 08:00,
68,156,Case Closed,02-04-2020 05:00,
69,159,Case Closed,08-02-2020 18:00,
70,160,Case Closed,22-03-2020 19:00,
71,161,Case Closed,19-02-2020 03:00,
72,165,Case Closed,23-12-2020 00:00,
73,166,Case Closed,10-03-2020 14:00,
74,167,Case Closed,27-01-2020 16:00,
75,168,Case Closed,04-03-2020 22:00,
76,170,Case Closed,17-01-2020 07:00,
77,171,Case Closed,11-03-2020 11:00,
78,173,Case Closed,29-10-2021 03:00,
79,175,Case Closed,15-06-2020 00:00,
80,176,Case Closed,28-06-2020 23:00,
81,177,Case Closed,21-03-2020 14:00,
82,180,Case Closed,23-01-2020 01:00,
83,183,Case Closed,09-05-2021 09:00,
84,185,Case Closed,03-03-2020 19:00,
85,186,Case Closed,12-03-2020 15:00,
86,187,Case Closed,13-02-2020 09:00,
87,188,Case Closed,15-03-2020 18:00,
88,189,Case Closed,23-03-2020 04:00,
89,190,Case Closed,12-02-2020 05:00,
90,192,Case Closed,20-01-2020 02:00,
91,194,Case Closed,06-03-2020 09:00,
92,196,Case Closed,14-02-2020 04:00,
93,197,Case Closed,24-01-2020 10:00,
94,198,Case Closed,22-01-2020 17:00,
95,201,Case Closed,05-02-2020 23:00,
96,203,Case Closed,15-03-2020 04:00,
97,204,Case Closed,14-03-2020 16:00,
98,205,Case Closed,03-03-2020 04:00,
99,206,Case Closed,29-02-2020 22:00,
100,207,Case Closed,10-02-2020 08:00,
101,210,Case Closed,14-01-2020 03:00,
102,213,Case Closed,21-01-2020 23:00,
103,214,Case Closed,13-03-2020 05:00,
104,215,Case Closed,01-09-2021 16:00,
105,217,Case Closed,23-02-2020 18:00,
106,221,Case Closed,15-02-2020 23:00,
107,222,Case Closed,22-01-2020 08:00,
108,224,Case Closed,01-05-2020 21:00,
109,225,Case Closed,01-04-2020 19:00,
110,227,Case Closed,16-03-2020 16:00,
111,229,Case Closed,25-02-2020 05:00,
112,232,Case Closed,15-02-2020 15:00,
113,235,Case Closed,14-01-2020 21:00,
114,236,Case Closed,07-04-2020 02:00,
115,242,Case Closed,12-02-2020 08:00,
116,243,Case Closed,06-04-2020 01:00,
117,244,Case Closed,21-08-2020 22:00,
118,245,Case Closed,27-06-2020 00:00,
119,247,Case Closed,24-03-2020 11:00,
120,248,Case Closed,28-02-2020 03:00,
121,249,Case Closed,26-03-2020 23:00,
122,250,Case Closed,23-01-2020 22:00,
123,252,Case Closed,31-03-2020 05:00,
124,253,Case Closed,06-02-2020 03:00,
125,254,Case Closed,20-01-2020 18:00,
126,256,Case Closed,20-01-2020 17:00,
127,257,Case Closed,10-02-2020 13:00,
128,259,Case Closed,02-04-2020 22:00,
129,261,Case Closed,28-05-2020 20:00,
130,262,Case Closed,06-02-2020 22:00,
131,264,Case Closed,18-12-2020 22:00,
132,265,Case Closed,21-02-2020 17:00,
133,268,Case Closed,24-01-2020 10:00,
134,270,Case Closed,28-02-2020 00:00,
135,272,Case Closed,06-02-2020 20:00,
136,279,Case Closed,30-01-2020 09:00,
137,280,Case Closed,07-04-2020 05:00,
138,282,Case Closed,14-03-2020 12:00,
139,284,Case Closed,28-03-2020 19:00,
140,286,Case Closed,25-03-2020 04:00,
141,287,Case Closed,01-02-2020 00:00,
142,288,Case Closed,29-03-2020 15:00,
143,289,Case Closed,25-01-2020 08:00,
144,294,Case Closed,07-02-2020 17:00,
145,295,Case Closed,07-03-2020 15:00,
146,296,Case Closed,25-01-2020 17:00,
147,298,Case Closed,26-01-2020 06:00,
148,300,Case Closed,05-04-2020 07:00,
149,302,Case Closed,09-04-2020 01:00,
150,304,Case Closed,17-01-2020 00:00,
151,305,Case Closed,21-01-2020 22:00,
152,307,Case Closed,15-01-2020 01:00,
153,309,Case Closed,10-07-2021 12:00,
154,310,Case Closed,30-01-2020 17:00,
155,311,Case Closed,04-04-2020 17:00,
156,315,Case Closed,24-04-2020 04:00,
157,316,Case Closed,01-07-2020 20:00,
158,317,Case Closed,23-01-2020 13:00,
159,322,Case Closed,28-01-2020 16:00,
160,325,Case Closed,31-01-2020 07:00,
161,330,Case Closed,23-02-2020 16:00,
162,331,Case Closed,25-03-2020 00:00,
163,332,Case Closed,10-02-2020 16:00,
164,333,Case Closed,12-03-2020 07:00,
165,336,Case Closed,12-02-2020 02:00,
166,338,Case Closed,31-08-2020 22:00,
167,339,Case Closed,16-03-2020 06:00,
168,340,Case Closed,07-02-2020 20:00,
169,341,Case Closed,13-07-2020 08:00,
170,343,Case Closed,30-03-2020 23:00,
171,344,Case Closed,12-04-2020 06:00,
172,348,Case Closed,13-02-2020 06:00,
173,350,Case Closed,09-02-2020 10:00,
174,352,Case Closed,25-02-2020 19:00,
175,353,Case Closed,07-03-2020 09:00,
176,354,Case Closed,20-03-2020 12:00,
177,359,Case Closed,04-03-2020 20:00,
