Status_ID,FIR_ID,Status,Updated_On_Date
1,1,Open,02-01-2020 00:00
2,2,Open,01-01-2020 19:00
3,3,Open,02-01-2020 05:00
4,4,Closed,29-04-2020 05:00
5,5,Closed,08-01-2020 21:00
6,6,Closed,30-03-2020 03:00
7,7,Closed,24-03-2020 16:00
8,8,Open,02-01-2020 10:00
9,9,Open,04-01-2020 03:00
10,10,Open,03-01-2020 07:00
11,11,Closed,01-02-2020 13:00
12,12,Open,03-01-2020 09:00
13,13,Closed,29-02-2020 16:00
14,14,Open,02-01-2020 22:00
15,15,Open,02-01-2020 00:00
16,16,Closed,30-03-2020 07:00
17,17,Open,03-01-2020 07:00
18,18,Open,04-01-2020 02:00
19,19,Closed,24-01-2020 20:00
20,20,Closed,05-03-2020 18:00
21,21,Closed,22-01-2020 22:00
22,22,Closed,03-03-2020 12:00
23,23,Open,02-01-2020 10:00
24,24,Open,03-01-2020 09:00
25,25,Open,03-01-2020 01:00
26,26,Closed,12-03-2020 16:00
27,27,Open,02-01-2020 06:00
28,28,Open,02-01-2020 15:00
29,29,Open,04-01-2020 14:00
30,30,Open,04-01-2020 23:00
31,31,Open,03-01-2020 07:00
32,32,Closed,18-03-2020 13:00
33,33,Open,03-01-2020 04:00
34,34,Open,05-01-2020 07:00
35,35,Open,04-01-2020 21:00
36,36,Open,04-01-2020 21:00
37,37,Closed,02-07-2020 05:00
38,38,Open,04-01-2020 05:00
39,39,Closed,11-03-2020 23:00
40,40,Closed,15-01-2020 02:00
41,41,Open,05-01-2020 01:00
42,42,Open,03-01-2020 11:00
43,43,Closed,17-03-2020 03:00
44,44,Open,04-01-2020 07:00
45,45,Closed,12-01-2020 19:00
46,46,Open,04-01-2020 19:00
47,47,Open,05-01-2020 04:00
48,48,Closed,14-03-2020 17:00
49,49,Open,05-01-2020 19:00
50,50,Open,03-01-2020 13:00
51,51,Closed,13-04-2020 05:00
52,52,Closed,14-04-2020 12:00
53,53,Closed,20-01-2020 00:00
54,54,Open,05-01-2020 10:00
55,55,Open,06-01-2020 02:00
56,56,Open,04-01-2020 04:00
57,57,Closed,20-07-2020 01:00
58,58,Open,03-01-2020 18:00
59,59,Open,04-01-2020 14:00
60,60,Closed,31-03-2020 18:00
61,61,Open,03-01-2020 22:00
62,62,Closed,09-02-2020 21:00
63,63,Closed,15-03-2020 20:00
64,64,Closed,20-03-2020 06:00
65,65,Open,05-01-2020 18:00
66,66,Closed,15-03-2020 14:00
67,67,Open,03-01-2020 21:00
68,68,Closed,02-05-2020 20:00
69,69,Closed,17-01-2020 09:00
70,70,Open,06-01-2020 12:00
71,71,Open,06-01-2020 20:00
72,72,Closed,23-03-2020 18:00
73,73,Open,05-01-2020 21:00
74,74,Closed,20-01-2020 05:00
75,75,Open,05-01-2020 02:00
76,76,Closed,26-01-2020 00:00
77,77,Open,04-01-2020 22:00
78,78,Closed,29-03-2020 21:00
79,79,Open,05-01-2020 20:00
80,80,Closed,15-01-2020 03:00
81,81,Closed,04-03-2020 03:00
82,82,Open,06-01-2020 05:00
83,83,Closed,21-03-2020 12:00
84,84,Closed,20-01-2020 19:00
85,85,Open,05-01-2020 18:00
86,86,Closed,11-03-2020 17:00
87,87,Closed,18-01-2020 06:00
88,88,Open,07-01-2020 03:00
89,89,Open,06-01-2020 22:00
90,90,Open,06-01-2020 18:00
91,91,Open,05-01-2020 04:00
92,92,Open,04-01-2020 20:00
93,93,Closed,01-04-2020 16:00
94,94,Open,06-01-2020 21:00
95,95,Open,06-01-2020 08:00
96,96,Open,06-01-2020 08:00
97,97,Closed,12-02-2020 02:00
98,98,Open,06-01-2020 17:00
99,99,Closed,23-01-2020 23:00
100,100,Closed,22-01-2020 20:00
101,101,Closed,14-01-2020 23:00
102,102,Open,05-01-2020 16:00
103,103,Open,07-01-2020 00:00
104,104,Closed,19-02-2020 16:00
105,105,Open,06-01-2020 23:00
106,106,Closed,22-02-2020 00:00
107,107,Open,05-01-2020 11:00
108,108,Closed,09-02-2020 12:00
109,109,Open,07-01-2020 20:00
110,110,Open,05-01-2020 17:00
111,111,Closed,16-02-2020 04:00
112,112,Open,08-01-2020 05:00
113,113,Closed,08-11-2021 09:00
114,114,Open,06-01-2020 15:00
115,115,Closed,03-02-2020 13:00
116,116,Open,05-01-2020 20:00
117,117,Closed,13-03-2020 04:00
118,118,Closed,30-03-2020 20:00
119,119,Closed,27-02-2020 19:00
120,120,Closed,27-01-2020 02:00
121,121,Closed,22-01-2020 14:00
122,122,Closed,06-04-2020 19:00
123,123,Open,06-01-2020 04:00
124,124,Open,08-01-2020 23:00
125,125,Open,09-01-2020 00:00
126,126,Open,09-01-2020 02:00
127,127,Open,07-01-2020 07:00
128,128,Closed,01-04-2020 04:00
129,129,Open,09-01-2020 04:00
130,130,Closed,20-05-2020 14:00
131,131,Open,08-01-2020 13:00
132,132,Open,07-01-2020 04:00
133,133,Open,06-01-2020 23:00
134,134,Open,06-01-2020 22:00
135,135,Open,06-01-2020 18:00
136,136,Open,09-01-2020 07:00
137,137,Closed,23-01-2020 23:00
138,138,Open,08-01-2020 12:00
139,139,Open,08-01-2020 17:00
140,140,Closed,06-02-2020 16:00
141,141,Open,08-01-2020 13:00
142,142,Closed,27-03-2020 23:00
143,143,Open,07-01-2020 09:00
144,144,Closed,04-02-2020 06:00
145,145,Open,08-01-2020 20:00
146,146,Open,08-01-2020 01:00
147,147,Closed,26-01-2020 16:00
148,148,Open,07-01-2020 16:00
149,149,Closed,27-02-2020 06:00
150,150,Closed,03-04-2020 08:00
151,151,Closed,27-03-2020 08:00
152,152,Open,07-01-2020 08:00
153,153,Open,08-01-2020 01:00
154,154,Open,09-01-2020 16:00
155,155,Open,10-01-2020 06:00
156,156,Closed,02-04-2020 05:00
157,157,Open,07-01-2020 13:00
158,158,Open,08-01-2020 16:00
159,159,Closed,08-02-2020 18:00
160,160,Closed,22-03-2020 19:00
161,161,Closed,19-02-2020 03:00
162,162,Open,07-01-2020 21:00
163,163,Open,09-01-2020 16:00
164,164,Open,08-01-2020 20:00
165,165,Closed,23-12-2020 00:00
166,166,Closed,10-03-2020 14:00
167,167,Closed,27-01-2020 16:00
168,168,Closed,04-03-2020 22:00
169,169,Open,08-01-2020 16:00
170,170,Closed,17-01-2020 07:00
171,171,Closed,11-03-2020 11:00
172,172,Open,08-01-2020 15:00
173,173,Closed,29-10-2021 03:00
174,174,Open,09-01-2020 20:00
175,175,Closed,15-06-2020 00:00
176,176,Closed,28-06-2020 23:00
177,177,Closed,21-03-2020 14:00
178,178,Open,09-01-2020 15:00
179,179,Open,10-01-2020 12:00
180,180,Closed,23-01-2020 01:00
181,181,Open,10-01-2020 18:00
182,182,Open,10-01-2020 13:00
183,183,Closed,09-05-2021 09:00
184,184,Open,10-01-2020 04:00
185,185,Closed,03-03-2020 19:00
186,186,Closed,12-03-2020 15:00
187,187,Closed,13-02-2020 09:00
188,188,Closed,15-03-2020 18:00
189,189,Closed,23-03-2020 04:00
190,190,Closed,12-02-2020 05:00
191,191,Open,09-01-2020 15:00
192,192,Closed,20-01-2020 02:00
193,193,Open,10-01-2020 20:00
194,194,Closed,06-03-2020 09:00
195,195,Open,11-01-2020 16:00
196,196,Closed,14-02-2020 04:00
197,197,Closed,24-01-2020 10:00
198,198,Closed,22-01-2020 17:00
199,199,Open,10-01-2020 09:00
200,200,Open,11-01-2020 13:00
201,201,Closed,05-02-2020 23:00
202,202,Open,12-01-2020 08:00
203,203,Closed,15-03-2020 04:00
204,204,Closed,14-03-2020 16:00
205,205,Closed,03-03-2020 04:00
206,206,Closed,29-02-2020 22:00
207,207,Closed,10-02-2020 08:00
208,208,Open,09-01-2020 19:00
209,209,Open,10-01-2020 11:00
210,210,Closed,14-01-2020 03:00
211,211,Open,11-01-2020 10:00
212,212,Open,10-01-2020 00:00
213,213,Closed,21-01-2020 23:00
214,214,Closed,13-03-2020 05:00
215,215,Closed,01-09-2021 16:00
216,216,Open,10-01-2020 16:00
217,217,Closed,23-02-2020 18:00
218,218,Open,11-01-2020 15:00
219,219,Open,12-01-2020 20:00
220,220,Open,12-01-2020 11:00
221,221,Closed,15-02-2020 23:00
222,222,Closed,22-01-2020 08:00
223,223,Open,11-01-2020 21:00
224,224,Closed,01-05-2020 21:00
225,225,Closed,01-04-2020 19:00
226,226,Open,10-01-2020 15:00
227,227,Closed,16-03-2020 16:00
228,228,Open,10-01-2020 16:00
229,229,Closed,25-02-2020 05:00
230,230,Open,11-01-2020 00:00
231,231,Open,12-01-2020 23:00
232,232,Closed,15-02-2020 15:00
233,233,Open,12-01-2020 17:00
234,234,Open,11-01-2020 17:00
235,235,Closed,14-01-2020 21:00
236,236,Closed,07-04-2020 02:00
237,237,Open,12-01-2020 13:00
238,238,Open,12-01-2020 02:00
239,239,Open,12-01-2020 17:00
240,240,Open,11-01-2020 11:00
241,241,Open,12-01-2020 14:00
242,242,Closed,12-02-2020 08:00
243,243,Closed,06-04-2020 01:00
244,244,Closed,21-08-2020 22:00
245,245,Closed,27-06-2020 00:00
246,246,Open,11-01-2020 21:00
247,247,Closed,24-03-2020 11:00
248,248,Closed,28-02-2020 03:00
249,249,Closed,26-03-2020 23:00
250,250,Closed,23-01-2020 22:00
251,251,Open,14-01-2020 07:00
252,252,Closed,31-03-2020 05:00
253,253,Closed,06-02-2020 03:00
254,254,Closed,20-01-2020 18:00
255,255,Open,14-01-2020 10:00
256,256,Closed,20-01-2020 17:00
257,257,Closed,10-02-2020 13:00
258,258,Open,11-01-2020 19:00
259,259,Closed,02-04-2020 22:00
260,260,Open,13-01-2020 07:00
261,261,Closed,28-05-2020 20:00
262,262,Closed,06-02-2020 22:00
263,263,Open,12-01-2020 20:00
264,264,Closed,18-12-2020 22:00
265,265,Closed,21-02-2020 17:00
266,266,Open,12-01-2020 12:00
267,267,Open,13-01-2020 16:00
268,268,Closed,24-01-2020 10:00
269,269,Open,12-01-2020 14:00
270,270,Closed,28-02-2020 00:00
271,271,Open,13-01-2020 08:00
272,272,Closed,06-02-2020 20:00
273,273,Open,13-01-2020 00:00
274,274,Open,14-01-2020 04:00
275,275,Open,14-01-2020 05:00
276,276,Open,14-01-2020 16:00
277,277,Open,12-01-2020 23:00
278,278,Open,15-01-2020 05:00
279,279,Closed,30-01-2020 09:00
280,280,Closed,07-04-2020 05:00
281,281,Open,15-01-2020 11:00
282,282,Closed,14-03-2020 12:00
283,283,Open,13-01-2020 03:00
284,284,Closed,28-03-2020 19:00
285,285,Open,14-01-2020 12:00
286,286,Closed,25-03-2020 04:00
287,287,Closed,01-02-2020 00:00
288,288,Closed,29-03-2020 15:00
289,289,Closed,25-01-2020 08:00
290,290,Open,15-01-2020 11:00
291,291,Open,13-01-2020 23:00
292,292,Open,15-01-2020 23:00
293,293,Open,14-01-2020 22:00
294,294,Closed,07-02-2020 17:00
295,295,Closed,07-03-2020 15:00
296,296,Closed,25-01-2020 17:00
297,297,Open,13-01-2020 20:00
298,298,Closed,26-01-2020 06:00
299,299,Open,15-01-2020 07:00
300,300,Closed,05-04-2020 07:00
301,301,Open,16-01-2020 08:00
302,302,Closed,09-04-2020 01:00
303,303,Open,13-01-2020 16:00
304,304,Closed,17-01-2020 00:00
305,305,Closed,21-01-2020 22:00
306,306,Open,14-01-2020 05:00
307,307,Closed,15-01-2020 01:00
308,308,Open,15-01-2020 03:00
309,309,Closed,10-07-2021 12:00
310,310,Closed,30-01-2020 17:00
311,311,Closed,04-04-2020 17:00
312,312,Open,15-01-2020 22:00
313,313,Open,15-01-2020 00:00
314,314,Open,15-01-2020 01:00
315,315,Closed,24-04-2020 04:00
316,316,Closed,01-07-2020 20:00
317,317,Closed,23-01-2020 13:00
318,318,Open,15-01-2020 07:00
319,319,Open,15-01-2020 10:00
320,320,Open,16-01-2020 01:00
321,321,Open,16-01-2020 07:00
322,322,Closed,28-01-2020 16:00
323,323,Open,15-01-2020 14:00
324,324,Open,15-01-2020 23:00
325,325,Closed,31-01-2020 07:00
326,326,Open,17-01-2020 07:00
327,327,Open,16-01-2020 01:00
328,328,Open,14-01-2020 17:00
329,329,Open,15-01-2020 07:00
330,330,Closed,23-02-2020 16:00
331,331,Closed,25-03-2020 00:00
332,332,Closed,10-02-2020 16:00
333,333,Closed,12-03-2020 07:00
334,334,Open,16-01-2020 20:00
335,335,Open,16-01-2020 01:00
336,336,Closed,12-02-2020 02:00
337,337,Open,15-01-2020 19:00
338,338,Closed,31-08-2020 22:00
339,339,Closed,16-03-2020 06:00
340,340,Closed,07-02-2020 20:00
341,341,Closed,13-07-2020 08:00
342,342,Open,15-01-2020 07:00
343,343,Closed,30-03-2020 23:00
344,344,Closed,12-04-2020 06:00
345,345,Open,15-01-2020 14:00
346,346,Open,17-01-2020 18:00
347,347,Open,17-01-2020 10:00
348,348,Closed,13-02-2020 06:00
349,349,Open,17-01-2020 15:00
350,350,Closed,09-02-2020 10:00
351,351,Open,18-01-2020 01:00
352,352,Closed,25-02-2020 19:00
353,353,Closed,07-03-2020 09:00
354,354,Closed,20-03-2020 12:00
355,355,Open,16-01-2020 19:00
356,356,Open,18-01-2020 02:00
357,357,Open,18-01-2020 06:00
358,358,Open,17-01-2020 22:00
359,359,Closed,04-03-2020 20:00
360,360,Closed,12-04-2020 03:00
361,361,Open,17-01-2020 17:00
362,362,Closed,04-02-2020 17:00
363,363,Open,17-01-2020 18:00
364,364,Open,17-01-2020 04:00
365,365,Open,19-01-2020 02:00
366,366,Open,16-01-2020 21:00
367,367,Open,16-01-2020 19:00
368,368,Open,16-01-2020 08:00
369,369,Open,19-01-2020 05:00
370,370,Closed,29-03-2020 04:00
371,371,Open,19-01-2020 02:00
372,372,Open,17-01-2020 17:00
373,373,Open,17-01-2020 07:00
374,374,Closed,25-02-2020 08:00
375,375,Open,18-01-2020 07:00
376,376,Closed,31-03-2020 11:00
377,377,Closed,15-04-2020 23:00
378,378,Closed,11-06-2020 19:00
379,379,Open,19-01-2020 16:00
380,380,Closed,11-04-2020 00:00
381,381,Closed,12-02-2020 04:00
382,382,Closed,01-04-2020 10:00
383,383,Open,17-01-2020 22:00
