Complaint_ID,Date,Description,Victim_ID,Crime_ID
1,01-01-2020 00:00,IDENTITY THEFT,1,576
2,01-01-2020 01:00,HOMICIDE,2,128
3,01-01-2020 02:00,KIDNAPPING,3,271
4,01-01-2020 03:00,BURGLARY,4,170
5,01-01-2020 04:00,VANDALISM,5,421
6,01-01-2020 05:00,ASSAULT,6,442
7,01-01-2020 06:00,VEHICLE - STOLEN,7,172
8,01-01-2020 07:00,COUNTERFEITING,8,169
9,01-01-2020 08:00,EXTORTION,9,338
10,01-01-2020 09:00,PUBLIC INTOXICATION,10,497
11,01-01-2020 10:00,FRAUD,11,260
12,01-01-2020 11:00,IDENTITY THEFT,12,563
13,01-01-2020 12:00,FRAUD,13,498
14,01-01-2020 13:00,ASSAULT,14,436
15,01-01-2020 14:00,SEXUAL ASSAULT,15,266
16,01-01-2020 15:00,COUNTERFEITING,16,357
17,01-01-2020 16:00,DRUG OFFENSE,17,509
18,01-01-2020 17:00,ARSON,18,342
19,01-01-2020 18:00,CYBERCRIME,19,480
20,01-01-2020 19:00,EXTORTION,20,369
21,01-01-2020 20:00,TRAFFIC VIOLATION,21,251
22,01-01-2020 21:00,VANDALISM,22,374
23,01-01-2020 22:00,SHOPLIFTING,23,507
24,01-01-2020 23:00,VANDALISM,24,322
25,01-02-2020 00:00,DRUG OFFENSE,25,527
26,01-02-2020 01:00,ASSAULT,26,282
27,01-02-2020 02:00,IDENTITY THEFT,27,247
28,01-02-2020 03:00,PUBLIC INTOXICATION,28,489
29,01-02-2020 04:00,VANDALISM,29,387
30,01-02-2020 05:00,BURGLARY,30,517
31,01-02-2020 06:00,HOMICIDE,31,570
32,01-02-2020 07:00,VANDALISM,32,222
33,01-02-2020 08:00,ILLEGAL POSSESSION,33,319
34,01-02-2020 09:00,VEHICLE - STOLEN,34,575
35,01-02-2020 10:00,VANDALISM,35,341
36,01-02-2020 11:00,COUNTERFEITING,36,396
37,01-02-2020 12:00,SEXUAL ASSAULT,37,187
38,01-02-2020 13:00,SHOPLIFTING,38,280
39,01-02-2020 14:00,VEHICLE - STOLEN,39,487
40,01-02-2020 15:00,FRAUD,40,154
41,01-02-2020 16:00,HOMICIDE,41,148
42,01-02-2020 17:00,ILLEGAL POSSESSION,42,583
43,01-02-2020 18:00,FIREARM OFFENSE,43,172
44,01-02-2020 19:00,SEXUAL ASSAULT,44,300
45,01-02-2020 20:00,ARSON,45,387
46,01-02-2020 21:00,DRUG OFFENSE,46,297
47,01-02-2020 22:00,ROBBERY,47,555
48,01-02-2020 23:00,FIREARM OFFENSE,48,128
49,01-03-2020 00:00,ILLEGAL POSSESSION,49,139
50,01-03-2020 01:00,DRUG OFFENSE,50,561
51,01-03-2020 02:00,BURGLARY,51,573
52,01-03-2020 03:00,BURGLARY,52,260
53,01-03-2020 04:00,PUBLIC INTOXICATION,53,211
54,01-03-2020 05:00,BURGLARY,54,312
55,01-03-2020 06:00,FIREARM OFFENSE,55,548
56,01-03-2020 07:00,BURGLARY,56,596
57,01-03-2020 08:00,SEXUAL ASSAULT,57,188
58,01-03-2020 09:00,ASSAULT,58,110
59,01-03-2020 10:00,TRAFFIC VIOLATION,59,449
60,01-03-2020 11:00,SHOPLIFTING,60,352
