Crime_ID,Crime_Name,Description
576,IDENTITY THEFT,Violent Crime
128,HOMICIDE,Other Crime
271,KIDNAPPING,Other Crime
170,BURGLARY,Other Crime
421,VANDALISM,Other Crime
442,ASSAULT,Violent Crime
172,VEHICLE - STOLEN,Violent Crime
169,COUNTERFEITING,Other Crime
338,EXTORTION,Other Crime
497,PUBLIC INTOXICATION,Other Crime
260,FRAUD,Other Crime
563,IDENTITY THEFT,Violent Crime
498,FRAUD,Other Crime
436,ASSAULT,Violent Crime
266,SEXUAL ASSAULT,Violent Crime
357,COUNTERFEITING,Other Crime
509,DRUG OFFENSE,Other Crime
342,ARSON,Fire Accident
480,CYBERCRIME,Other Crime
369,EXTORTION,Other Crime
251,TRAFFIC VIOLATION,Traffic Fatality
374,VANDALISM,Other Crime
507,SHOPLIFTING,Other Crime
322,VANDALISM,Other Crime
527,DRUG OFFENSE,Other Crime
282,ASSAULT,Violent Crime
247,IDENTITY THEFT,Violent Crime
489,PUBLIC INTOXICATION,Other Crime
387,VANDALISM,Other Crime
517,BURGLARY,Other Crime
570,HOMICIDE,Other Crime
222,VANDALISM,Other Crime
319,ILLEGAL POSSESSION,Other Crime
575,VEHICLE - STOLEN,Violent Crime
341,VANDALISM,Other Crime
396,COUNTERFEITING,Other Crime
187,SEXUAL ASSAULT,Violent Crime
280,SHOPLIFTING,Other Crime
487,VEHICLE - STOLEN,Violent Crime
154,FRAUD,Other Crime
148,HOMICIDE,Other Crime
583,ILLEGAL POSSESSION,Other Crime
300,SEXUAL ASSAULT,Violent Crime
297,DRUG OFFENSE,Other Crime
555,ROBBERY,Violent Crime
139,ILLEGAL POSSESSION,Other Crime
561,DRUG OFFENSE,Other Crime
573,BURGLARY,Other Crime
211,PUBLIC INTOXICATION,Other Crime
312,BURGLARY,Other Crime
548,FIREARM OFFENSE,Fire Accident
596,BURGLARY,Other Crime
188,SEXUAL ASSAULT,Violent Crime
110,ASSAULT,Violent Crime
449,TRAFFIC VIOLATION,Traffic Fatality
352,SHOPLIFTING,Other Crime
196,SHOPLIFTING,Other Crime
359,DRUG OFFENSE,Other Crime
495,FRAUD,Other Crime
259,ILLEGAL POSSESSION,Other Crime
289,DRUG OFFENSE,Other Crime
409,EXTORTION,Other Crime
306,CYBERCRIME,Other Crime
420,BURGLARY,Other Crime
469,PUBLIC INTOXICATION,Other Crime
292,FIREARM OFFENSE,Fire Accident
512,FIREARM OFFENSE,Fire Accident
244,ARSON,Fire Accident
269,BURGLARY,Other Crime
524,ARSON,Fire Accident
404,CYBERCRIME,Other Crime
191,VANDALISM,Other Crime
