Evidence_ID,FIR_ID,Evidence_Type,Description,Location
1,1,Weapon,Blunt Object,
2,2,Weapon,Poison,
3,3,Weapon,Blunt Object,
4,4,Weapon,Firearm,
5,5,Weapon,Other,
6,6,Weapon,Firearm,
7,7,Weapon,Knife,
8,8,Weapon,Knife,
9,9,Weapon,Blunt Object,
10,10,Weapon,Knife,
11,11,Weapon,Explosives,
12,12,Weapon,Poison,
13,13,Weapon,Poison,
14,16,Weapon,Explosives,
15,17,Weapon,Poison,
16,18,Weapon,Other,
17,20,Weapon,Blunt Object,
18,21,Weapon,Poison,
19,22,Weapon,Other,
20,23,Weapon,Blunt Object,
21,24,Weapon,Other,
22,25,Weapon,Other,
23,26,Weapon,Firearm,
24,27,Weapon,Blunt Object,
25,29,Weapon,Explosives,
26,31,Weapon,Explosives,
27,32,Weapon,Knife,
28,33,Weapon,Knife,
29,34,Weapon,Explosives,
30,35,Weapon,Other,
31,36,Weapon,Blunt Object,
32,37,Weapon,Blunt Object,
33,38,Weapon,Explosives,
34,40,Weapon,Explosives,
35,41,Weapon,Firearm,
36,42,Weapon,Blunt Object,
37,43,Weapon,Poison,
38,44,Weapon,Other,
39,45,Weapon,Blunt Object,
40,46,Weapon,Knife,
41,48,Weapon,Blunt Object,
42,49,Weapon,Firearm,
43,50,Weapon,Blunt Object,
44,51,Weapon,Other,
45,52,Weapon,Blunt Object,
46,53,Weapon,Poison,
47,54,Weapon,Explosives,
48,55,Weapon,Poison,
49,57,Weapon,Firearm,
50,59,Weapon,Blunt Object,
51,60,Weapon,Other,
52,61,Weapon,Poison,
53,62,Weapon,Explosives,
54,63,Weapon,Explosives,
55,64,Weapon,Blunt Object,
56,65,Weapon,Explosives,
57,66,Weapon,Other,
58,68,Weapon,Knife,
59,69,Weapon,Explosives,
60,70,Weapon,Firearm,
61,71,Weapon,Poison,
62,72,Weapon,Knife,
63,73,Weapon,Blunt Object,
64,74,Weapon,Firearm,
65,75,Weapon,Knife,
66,76,Weapon,Explosives,
67,77,Weapon,Explosives,
68,78,Weapon,Knife,
69,79,Weapon,Poison,
70,81,Weapon,Knife,
71,82,Weapon,Explosives,
72,83,Weapon,Firearm,
73,84,Weapon,Blunt Object,
74,85,Weapon,Firearm,
75,86,Weapon,Other,
76,87,Weapon,Firearm,
77,88,Weapon,Firearm,
78,89,Weapon,Knife,
79,90,Weapon,Blunt Object,
80,91,Weapon,Poison,
81,94,Weapon,Firearm,
82,95,Weapon,Firearm,
83,96,Weapon,Blunt Object,
84,97,Weapon,Explosives,
85,98,Weapon,Blunt Object,
86,99,Weapon,Explosives,
87,100,Weapon,Other,
88,101,Weapon,Knife,
89,102,Weapon,Explosives,
90,103,Weapon,Other,
91,104,Weapon,Poison,
92,105,Weapon,Blunt Object,
93,107,Weapon,Blunt Object,
94,108,Weapon,Poison,
95,109,Weapon,Blunt Object,
96,110,Weapon,Other,
97,111,Weapon,Explosives,
98,113,Weapon,Knife,
99,114,Weapon,Poison,
100,115,Weapon,Blunt Object,
101,116,Weapon,Knife,
102,117,Weapon,Poison,
103,118,Weapon,Explosives,
104,119,Weapon,Poison,
105,121,Weapon,Firearm,
106,122,Weapon,Other,
107,124,Weapon,Blunt Object,
108,125,Weapon,Knife,
109,128,Weapon,Knife,
110,129,Weapon,Explosives,
111,130,Weapon,Other,
112,131,Weapon,Poison,
113,132,Weapon,Knife,
114,134,Weapon,Knife,
115,135,Weapon,Other,
116,136,Weapon,Other,
117,137,Weapon,Explosives,
118,138,Weapon,Blunt Object,
119,139,Weapon,Other,
120,140,Weapon,Firearm,
121,141,Weapon,Other,
122,142,Weapon,Blunt Object,
123,144,Weapon,Firearm,
124,145,Weapon,Firearm,
125,146,Weapon,Knife,
126,147,Weapon,Other,
127,148,Weapon,Knife,
128,150,Weapon,Knife,
129,151,Weapon,Blunt Object,
130,153,Weapon,Knife,
131,154,Weapon,Other,
132,155,Weapon,Blunt Object,
133,156,Weapon,Blunt Object,
134,157,Weapon,Other,
135,158,Weapon,Firearm,
136,159,Weapon,Poison,
137,160,Weapon,Blunt Object,
138,161,Weapon,Knife,
139,163,Weapon,Knife,
140,164,Weapon,Firearm,
141,165,Weapon,Firearm,
142,166,Weapon,Firearm,
143,167,Weapon,Explosives,
144,168,Weapon,Firearm,
145,169,Weapon,Blunt Object,
146,170,Weapon,Knife,
147,172,Weapon,Poison,
148,173,Weapon,Blunt Object,
149,175,Weapon,Blunt Object,
150,177,Weapon,Firearm,
151,179,Weapon,Knife,
152,180,Weapon,Blunt Object,
153,181,Weapon,Poison,
154,182,Weapon,Poison,
155,183,Weapon,Firearm,
156,185,Weapon,Other,
157,186,Weapon,Other,
158,187,Weapon,Blunt Object,
159,189,Weapon,Knife,
160,190,Weapon,Explosives,
161,191,Weapon,Knife,
162,192,Weapon,Blunt Object,
163,195,Weapon,Poison,
164,196,Weapon,Other,
165,197,Weapon,Explosives,
166,198,Weapon,Explosives,
167,199,Weapon,Firearm,
168,200,Weapon,Blunt Object,
169,201,Weapon,Blunt Object,
170,202,Weapon,Explosives,
171,203,Weapon,Blunt Object,
172,204,Weapon,Firearm,
173,205,Weapon,Other,
174,207,Weapon,Blunt Object,
175,209,Weapon,Explosives,
176,210,Weapon,Knife,
177,211,Weapon,Explosives,
178,212,Weapon,Blunt Object,
179,213,Weapon,Firearm,
180,214,Weapon,Explosives,
181,215,Weapon,Explosives,
182,216,Weapon,Knife,
183,218,Weapon,Other,
184,219,Weapon,Other,
185,220,Weapon,Knife,
186,222,Weapon,Poison,
187,223,Weapon,Poison,
188,224,Weapon,Knife,
189,225,Weapon,Firearm,
190,226,Weapon,Explosives,
191,227,Weapon,Poison,
192,228,Weapon,Blunt Object,
193,229,Weapon,Other,
194,230,Weapon,Poison,
195,231,Weapon,Blunt Object,
196,233,Weapon,Other,
197,234,Weapon,Poison,
198,235,Weapon,Firearm,
199,236,Weapon,Poison,
200,237,Weapon,Other,
201,238,Weapon,Knife,
202,239,Weapon,Knife,
203,240,Weapon,Knife,
204,241,Weapon,Other,
205,242,Weapon,Blunt Object,
206,243,Weapon,Knife,
207,244,Weapon,Poison,
208,245,Weapon,Firearm,
209,246,Weapon,Knife,
210,247,Weapon,Blunt Object,
211,248,Weapon,Explosives,
212,249,Weapon,Explosives,
213,250,Weapon,Other,
214,251,Weapon,Other,
215,252,Weapon,Firearm,
216,253,Weapon,Other,
217,255,Weapon,Explosives,
218,256,Weapon,Explosives,
219,257,Weapon,Blunt Object,
220,258,Weapon,Other,
221,259,Weapon,Poison,
222,260,Weapon,Firearm,
223,262,Weapon,Blunt Object,
224,263,Weapon,Poison,
225,264,Weapon,Knife,
226,265,Weapon,Blunt Object,
227,266,Weapon,Explosives,
228,267,Weapon,Explosives,
229,268,Weapon,Knife,
230,269,Weapon,Other,
231,270,Weapon,Explosives,
232,271,Weapon,Blunt Object,
233,272,Weapon,Knife,
234,273,Weapon,Other,
235,275,Weapon,Blunt Object,
236,276,Weapon,Other,
237,277,Weapon,Poison,
238,278,Weapon,Knife,
239,279,Weapon,Knife,
240,280,Weapon,Blunt Object,
241,281,Weapon,Poison,
242,282,Weapon,Other,
243,283,Weapon,Blunt Object,
244,285,Weapon,Blunt Object,
245,286,Weapon,Other,
246,287,Weapon,Explosives,
247,288,Weapon,Firearm,
248,289,Weapon,Blunt Object,
249,290,Weapon,Other,
250,291,Weapon,Explosives,
251,292,Weapon,Poison,
252,293,Weapon,Poison,
253,294,Weapon,Blunt Object,
254,295,Weapon,Poison,
255,296,Weapon,Other,
256,297,Weapon,Explosives,
257,298,Weapon,Explosives,
258,299,Weapon,Other,
259,300,Weapon,Blunt Object,
260,303,Weapon,Blunt Object,
261,305,Weapon,Knife,
262,306,Weapon,Poison,
263,307,Weapon,Firearm,
264,308,Weapon,Other,
265,309,Weapon,Firearm,
266,310,Weapon,Poison,
267,312,Weapon,Firearm,
268,313,Weapon,Firearm,
269,314,Weapon,Firearm,
270,315,Weapon,Poison,
271,316,Weapon,Other,
272,317,Weapon,Knife,
273,319,Weapon,Other,
274,320,Weapon,Knife,
275,321,Weapon,Poison,
276,323,Weapon,Explosives,
277,324,Weapon,Knife,
278,325,Weapon,Explosives,
279,326,Weapon,Explosives,
280,327,Weapon,Poison,
281,328,Weapon,Firearm,
282,329,Weapon,Knife,
283,330,Weapon,Other,
284,331,Weapon,Poison,
285,332,Weapon,Knife,
286,333,Weapon,Explosives,
287,335,Weapon,Poison,
288,337,Weapon,Other,
289,338,Weapon,Other,
290,340,Weapon,Knife,
291,341,Weapon,Knife,
292,342,Weapon,Blunt Object,
293,343,Weapon,Firearm,
294,345,Weapon,Firearm,
295,346,Weapon,Firearm,
296,347,Weapon,Other,
297,348,Weapon,Knife,
298,350,Weapon,Poison,
299,351,Weapon,Firearm,
300,352,Weapon,Blunt Object,
301,353,Weapon,Explosives,
302,354,Weapon,Explosives,
303,355,Weapon,Other,
304,356,Weapon,Poison,
305,357,Weapon,Knife,
306,358,Weapon,Firearm,
307,359,Weapon,Other,
308,360,Weapon,Explosives,
309,361,Weapon,Knife,
310,362,Weapon,Poison,
311,363,Weapon,Firearm,
312,367,Weapon,Knife,
313,369,Weapon,Explosives,
314,370,Weapon,Poison,
315,371,Weapon,Knife,
316,372,Weapon,Knife,
317,373,Weapon,Blunt Object,
318,374,Weapon,Other,
319,375,Weapon,Other,
320,376,Weapon,Blunt Object,
321,377,Weapon,Blunt Object,
322,379,Weapon,Knife,
323,380,Weapon,Blunt Object,
324,381,Weapon,Blunt Object,
325,382,Weapon,Poison,
