FIR_ID,FIR_Date,Complaint_ID,Crime_ID,Officer_ID,Location_ID,is_deleted
1,02-01-2020 00:00,1,576,141,1,0
2,01-01-2020 19:00,2,128,240,2,0
3,02-01-2020 05:00,3,271,102,3,0
4,01-01-2020 05:00,4,170,134,4,0
5,01-01-2020 21:00,5,421,169,4,0
6,02-01-2020 03:00,6,442,210,5,0
7,01-01-2020 16:00,7,172,101,2,0
8,02-01-2020 10:00,8,169,57,2,0
9,04-01-2020 03:00,9,338,148,6,0
10,03-01-2020 07:00,10,497,90,2,0
11,02-01-2020 13:00,11,260,192,5,0
12,03-01-2020 09:00,12,563,105,7,0
13,01-01-2020 16:00,13,498,177,8,0
14,02-01-2020 22:00,14,436,193,6,0
15,02-01-2020 00:00,15,266,28,9,0
16,02-01-2020 07:00,16,357,58,10,0
17,03-01-2020 07:00,17,509,164,11,0
18,04-01-2020 02:00,18,342,165,4,0
19,02-01-2020 20:00,19,480,117,9,0
20,03-01-2020 18:00,20,369,40,9,0
21,03-01-2020 22:00,21,251,214,12,0
22,03-01-2020 12:00,22,374,178,6,0
23,02-01-2020 10:00,23,507,230,13,0
24,03-01-2020 09:00,24,322,193,2,0
25,03-01-2020 01:00,25,527,49,9,0
26,02-01-2020 16:00,26,282,184,13,0
27,02-01-2020 06:00,27,247,1,4,0
28,02-01-2020 15:00,28,489,229,14,0
29,04-01-2020 14:00,29,387,204,9,0
30,04-01-2020 23:00,30,517,249,15,0
31,03-01-2020 07:00,31,570,130,15,0
32,04-01-2020 13:00,32,222,205,12,0
33,03-01-2020 04:00,33,319,28,5,0
34,05-01-2020 07:00,34,575,127,16,0
35,04-01-2020 21:00,35,341,37,17,0
36,04-01-2020 21:00,36,396,235,2,0
37,03-01-2020 05:00,37,187,19,14,0
38,04-01-2020 05:00,38,280,178,18,0
39,03-01-2020 23:00,39,487,244,7,0
40,03-01-2020 02:00,40,154,79,6,0
41,05-01-2020 01:00,41,148,62,8,0
42,03-01-2020 11:00,42,583,194,7,0
43,03-01-2020 03:00,43,172,104,5,0
44,04-01-2020 07:00,44,300,78,6,0
45,05-01-2020 19:00,45,387,212,10,0
46,04-01-2020 19:00,46,297,54,16,0
47,05-01-2020 04:00,47,555,139,5,0
48,05-01-2020 17:00,48,128,164,14,0
49,05-01-2020 19:00,49,139,25,13,0
50,03-01-2020 13:00,50,561,244,12,0
51,03-01-2020 05:00,51,573,209,19,0
52,05-01-2020 12:00,52,260,49,10,0
53,05-01-2020 00:00,53,211,7,11,0
54,05-01-2020 10:00,54,312,5,5,0
55,06-01-2020 02:00,55,548,8,4,0
56,04-01-2020 04:00,56,596,76,20,0
57,06-01-2020 01:00,57,188,31,17,0
58,03-01-2020 18:00,58,110,54,1,0
59,04-01-2020 14:00,59,449,48,2,0
60,05-01-2020 18:00,60,352,212,21,0
61,03-01-2020 22:00,61,196,199,6,0
62,05-01-2020 21:00,62,359,175,7,0
63,03-01-2020 20:00,63,495,19,2,0
64,06-01-2020 06:00,64,259,18,21,0
65,05-01-2020 18:00,65,289,65,8,0
66,06-01-2020 14:00,66,409,116,14,0
67,03-01-2020 21:00,67,306,244,15,0
68,04-01-2020 20:00,68,420,31,8,0
69,06-01-2020 09:00,69,469,109,12,0
70,06-01-2020 12:00,70,292,242,8,0
71,06-01-2020 20:00,71,512,92,10,0
72,05-01-2020 18:00,72,244,170,19,0
73,05-01-2020 21:00,73,269,104,14,0
74,06-01-2020 05:00,74,524,3,2,0
75,05-01-2020 02:00,75,404,179,1,0
76,06-01-2020 00:00,76,191,153,5,0
77,04-01-2020 22:00,77,369,77,6,0
78,05-01-2020 21:00,78,517,88,22,0
79,05-01-2020 20:00,79,229,100,6,0
80,07-01-2020 03:00,80,154,96,8,0
81,05-01-2020 03:00,81,197,54,5,0
82,06-01-2020 05:00,82,421,78,13,0
83,06-01-2020 12:00,83,305,110,6,0
84,04-01-2020 19:00,84,150,159,10,0
85,05-01-2020 18:00,85,542,151,14,0
86,06-01-2020 17:00,86,438,236,6,0
87,07-01-2020 06:00,87,498,123,14,0
88,07-01-2020 03:00,88,345,163,23,0
89,06-01-2020 22:00,89,108,158,6,0
90,06-01-2020 18:00,90,219,152,12,0
91,05-01-2020 04:00,91,219,11,10,0
92,04-01-2020 20:00,92,510,174,13,0
93,05-01-2020 16:00,93,597,126,12,0
94,06-01-2020 21:00,94,272,9,6,0
95,06-01-2020 08:00,95,413,128,24,0
96,06-01-2020 08:00,96,355,82,12,0
97,06-01-2020 02:00,97,523,90,19,0
98,06-01-2020 17:00,98,486,8,10,0
99,06-01-2020 23:00,99,292,66,12,0
100,06-01-2020 20:00,100,455,180,12,0
101,06-01-2020 23:00,101,515,122,1,0
102,05-01-2020 16:00,102,566,221,6,0
103,07-01-2020 00:00,103,419,205,17,0
104,07-01-2020 16:00,104,250,99,6,0
105,06-01-2020 23:00,105,597,193,14,0
106,06-01-2020 00:00,106,583,138,12,0
107,05-01-2020 11:00,107,342,198,14,0
108,07-01-2020 12:00,108,417,26,9,0
109,07-01-2020 20:00,109,169,109,2,0
110,05-01-2020 17:00,110,464,177,5,0
111,07-01-2020 04:00,111,500,151,8,0
112,08-01-2020 05:00,112,183,159,5,0
113,07-01-2020 09:00,113,270,226,9,0
114,06-01-2020 15:00,114,259,90,7,0
115,07-01-2020 13:00,115,184,243,4,0
116,05-01-2020 20:00,116,353,249,6,0
