FIR_Accused_ID,FIR_ID,Accused_ID,Role_In_Crime,Date_Linked
1,19948,13634,Mastermind,2023-12-06
2,25874,12820,Financier,2022-11-03
3,17671,12975,Mastermind,2022-08-06
4,22768,23892,Executor,2020-02-01
5,9681,45731,Lookout,2021-12-16
6,7497,9589,Executor,2020-11-22
7,7497,28976,Accomplice,2022-04-06
8,28516,29411,Financier,2023-11-03
9,28516,3167,Financier,2021-08-11
10,22824,4276,Accomplice,2022-06-03
11,17005,6293,Accomplice,2019-11-05
12,32473,5966,Financier,2023-01-09
13,30762,32826,Accomplice,2021-09-02
14,33795,45246,Driver,2022-06-30
15,24878,11070,Executor,2019-07-19
16,23991,38114,Lookout,2020-01-20
17,20840,30224,Driver,2020-01-11
18,20840,38802,Lookout,2023-09-17
19,20840,25658,Driver,2019-11-25
20,8486,11172,Lookout,2019-07-13
21,38754,50584,Mastermind,2020-12-28
22,21767,25354,Accomplice,2023-04-04
23,37591,5171,Lookout,2019-03-10
24,4352,36258,Mastermind,2019-09-26
25,35191,41249,Mastermind,2021-10-27
26,35191,8654,Accomplice,2019-10-12
27,28268,9009,Driver,2020-10-01
28,28268,20061,Driver,2020-12-25
29,10118,14190,Lookout,2019-02-01
30,5588,31040,Lookout,2023-07-22
31,8670,21006,Mastermind,2019-07-28
32,19184,18982,Executor,2022-10-14
33,9005,5371,Executor,2022-02-06
34,10413,45136,Financier,2021-05-18
35,20188,31519,Executor,2019-06-17
36,30114,25433,Financier,2021-11-17
37,16333,30704,Driver,2020-11-12
38,14094,50158,Driver,2023-08-31
39,14094,36742,Lookout,2023-12-22
40,39599,29447,Lookout,2023-10-31
41,4271,44353,Lookout,2023-03-25
42,4271,46127,Financier,2023-12-17
43,26485,16555,Driver,2023-03-29
44,6858,19688,Mastermind,2020-12-09
45,5022,18208,Accomplice,2023-01-30
46,5022,51818,Mastermind,2019-08-14
47,6265,36146,Lookout,2021-06-15
48,6265,11475,Financier,2021-05-15
49,12015,7063,Financier,2019-02-09
50,10104,51971,Lookout,2023-12-22
51,10104,5565,Driver,2022-03-24
52,20180,19200,Driver,2021-11-08
53,819,49433,Executor,2022-06-20
54,23913,11811,Financier,2019-09-25
55,30572,31577,Driver,2022-07-02
56,12582,7949,Financier,2021-09-02
57,31221,20080,Accomplice,2019-01-26
58,31221,4021,Driver,2021-01-31
59,23598,25858,Executor,2022-09-18
60,23598,50574,Mastermind,2023-08-05
61,38743,23123,Mastermind,2023-08-03
62,5927,5783,Executor,2023-02-14
63,9131,41486,Accomplice,2023-07-02
64,22670,47242,Driver,2021-06-13
65,6350,45703,Executor,2023-06-03
66,14857,50932,Mastermind,2019-07-03
67,14857,25758,Lookout,2022-06-25
68,23357,36772,Financier,2023-12-30
69,36590,39377,Driver,2019-05-19
70,16886,41360,Lookout,2022-03-30
71,15511,24196,Driver,2023-04-29
72,15511,41501,Executor,2021-10-17
73,32011,16699,Lookout,2022-01-06
74,32011,48267,Lookout,2019-03-05
75,32011,3592,Driver,2023-04-06
76,12823,37815,Mastermind,2019-11-26
77,12823,10640,Executor,2023-01-19
78,12823,18307,Lookout,2021-05-09
79,34958,12551,Lookout,2020-06-22
80,34958,47644,Lookout,2020-09-13
81,17316,16411,Executor,2019-11-29
82,4654,15965,Executor,2022-08-20
83,12123,46555,Accomplice,2021-08-13
84,2073,39150,Accomplice,2021-12-22
85,2073,30521,Accomplice,2023-09-04
86,35774,8652,Accomplice,2021-09-21
87,32498,19990,Financier,2019-07-25
88,32498,12125,Financier,2023-12-09
89,30866,25851,Accomplice,2019-02-17
90,30866,37248,Mastermind,2022-04-22
91,13980,35248,Mastermind,2022-10-17
92,32565,17072,Financier,2023-05-17
93,12975,34162,Financier,2019-03-23
94,12975,41325,Driver,2020-01-31
95,14795,26141,Accomplice,2020-07-29
96,28137,46784,Lookout,2021-10-09
97,15723,42572,Lookout,2021-01-31
98,17931,32470,Accomplice,2021-10-21
99,38032,34592,Financier,2019-04-22
100,33646,5802,Mastermind,2023-04-19
101,29027,39654,Executor,2023-08-30
102,25578,44362,Financier,2023-04-26
103,25578,45533,Financier,2020-07-06
104,33333,1007,Accomplice,2022-10-12
105,22763,4545,Executor,2023-08-22
106,22763,11734,Mastermind,2022-05-06
107,20179,9904,Accomplice,2020-08-17
108,20179,48252,Financier,2019-04-21
109,20179,29300,Executor,2021-07-15
110,36255,34328,Financier,2019-12-06
111,36255,37419,Lookout,2023-11-11
112,26172,31042,Driver,2023-11-14
113,11532,22834,Financier,2020-07-02
114,11532,46812,Mastermind,2020-09-12
115,11532,6113,Financier,2021-11-01
116,22888,10216,Driver,2020-06-07
117,594,34477,Accomplice,2020-03-01
118,594,42770,Driver,2022-06-21
119,13054,28687,Financier,2020-04-26
120,13054,9366,Executor,2023-01-13
121,13054,34608,Lookout,2022-06-16
122,31863,36347,Lookout,2020-08-31
123,26060,48438,Executor,2023-07-10
124,35069,44097,Executor,2023-04-10
125,32682,29928,Accomplice,2020-06-14
126,37466,44927,Driver,2023-11-30
127,17596,32723,Accomplice,2019-05-25
128,6981,39476,Driver,2023-10-02
129,2946,9510,Driver,2019-02-14
130,5428,2930,Accomplice,2021-04-02
131,5235,20509,Lookout,2023-01-22
132,2966,43644,Financier,2019-10-11
133,17986,1666,Accomplice,2022-12-27
134,17986,37538,Financier,2022-07-05
135,4574,25049,Executor,2022-01-14
136,27610,15504,Executor,2020-05-24
137,23856,44366,Driver,2021-07-21
138,23856,40790,Executor,2020-11-20
139,31834,19832,Mastermind,2022-09-24
140,24898,50457,Financier,2019-09-24
141,7168,45237,Mastermind,2022-11-08
142,14784,10858,Accomplice,2019-03-09
143,30311,43454,Mastermind,2023-09-19
144,13534,35775,Driver,2022-09-30
145,37564,35408,Accomplice,2020-07-03
146,37564,27136,Lookout,2023-07-05
