FIR_Suspects_ID,FIR_ID,Suspect_ID,Reason_For_Suspicion,Date_Linked
1,28758,14264,Suspicious behaviour reported,2019-11-11
2,17590,10725,Seen near crime scene,2019-01-15
3,33492,12196,Witness testimony,2020-06-12
4,37790,1689,Phone call records,2022-08-18
5,37790,4924,Seen near crime scene,2021-10-29
6,17259,27987,Witness testimony,2022-03-16
7,2497,8253,Seen near crime scene,2021-07-24
8,23581,29303,CCTV footage,2020-05-29
9,25329,13434,Suspicious behaviour reported,2020-12-16
10,22740,26278,Phone call records,2021-02-26
11,28050,3289,Witness testimony,2022-07-10
12,28050,17254,Prior criminal record,2023-12-26
13,39864,21213,Witness testimony,2022-02-13
14,22825,21933,Suspicious behaviour reported,2020-12-01
15,22825,31622,Seen near crime scene,2019-02-04
16,31532,30589,Phone call records,2020-03-20
17,9996,5845,Suspicious behaviour reported,2019-07-13
18,8285,26751,Seen near crime scene,2023-03-17
19,36925,1812,Phone call records,2022-12-15
20,37259,21511,Seen near crime scene,2019-10-30
21,13583,28573,CCTV footage,2022-01-26
22,37087,28958,Prior criminal record,2022-02-19
23,37087,14527,Seen near crime scene,2021-10-12
24,15471,21392,Prior criminal record,2020-03-31
25,39045,12293,Phone call records,2020-08-18
26,39051,16815,Witness testimony,2021-06-30
27,6687,1568,Prior criminal record,2021-05-23
28,38125,16236,Witness testimony,2021-07-09
29,2289,28704,Seen near crime scene,2020-09-16
30,30106,23090,Phone call records,2022-12-12
31,30106,24243,Witness testimony,2022-01-03
32,27972,1714,CCTV footage,2020-01-31
33,9696,16394,Phone call records,2021-06-29
34,32546,12918,Phone call records,2020-06-24
35,19730,30828,Prior criminal record,2022-09-15
36,30964,2307,CCTV footage,2021-08-09
37,31674,13817,Seen near crime scene,2020-01-20
38,2196,815,Prior criminal record,2023-05-02
39,1117,24298,CCTV footage,2020-08-10
40,1953,13350,Suspicious behaviour reported,2020-01-23
41,5351,12159,Prior criminal record,2022-01-10
42,15141,18961,Suspicious behaviour reported,2022-11-08
43,2502,15680,Seen near crime scene,2019-02-07
44,35317,5828,Prior criminal record,2019-04-23
45,35317,17963,Witness testimony,2020-03-15
46,14746,22501,CCTV footage,2020-12-01
47,38981,23229,Prior criminal record,2022-12-15
48,39774,11171,Prior criminal record,2022-06-13
49,8672,186,Seen near crime scene,2023-08-22
50,15673,27153,Phone call records,2019-06-22
51,34511,22243,CCTV footage,2020-08-23
52,11021,9325,Suspicious behaviour reported,2021-10-15
53,25953,15292,Prior criminal record,2021-03-04
54,22905,1121,Phone call records,2022-06-06
55,22905,10119,Prior criminal record,2019-01-10
56,33723,4811,Seen near crime scene,2019-05-12
57,15698,19251,Prior criminal record,2023-03-03
58,16679,18403,Phone call records,2022-06-08
59,5016,2960,Suspicious behaviour reported,2023-07-24
60,3839,24013,Suspicious behaviour reported,2020-11-19
61,35824,13238,Phone call records,2022-02-06
62,19532,5973,Seen near crime scene,2023-07-03
63,19990,4632,Prior criminal record,2023-03-22
64,36212,6014,Seen near crime scene,2021-12-11
65,36212,19198,Phone call records,2023-04-08
66,1364,26023,CCTV footage,2020-12-12
67,29143,5295,CCTV footage,2022-03-01
68,29143,6540,Seen near crime scene,2020-08-02
69,8032,10219,CCTV footage,2023-06-27
70,26261,9724,Prior criminal record,2021-10-21
71,26261,9264,CCTV footage,2023-08-07
72,34687,1072,Phone call records,2022-03-09
73,21225,3976,CCTV footage,2023-01-11
74,21225,27474,Phone call records,2020-01-26
75,19665,29503,CCTV footage,2023-08-21
76,21146,25214,Phone call records,2019-01-25
77,21146,6997,Phone call records,2022-12-30
78,33006,10416,Seen near crime scene,2019-07-04
79,12219,22660,Witness testimony,2023-02-14
80,12219,15034,Seen near crime scene,2021-03-14
81,24574,15563,Witness testimony,2022-02-07
82,128,28414,Seen near crime scene,2020-08-19
83,28969,4520,Phone call records,2021-10-02
84,30451,17741,Suspicious behaviour reported,2022-09-02
85,15827,7876,CCTV footage,2020-03-26
86,15827,30357,CCTV footage,2022-02-18
87,18762,18626,Prior criminal record,2020-12-19
88,36299,24896,Witness testimony,2022-09-15
89,21885,6724,Phone call records,2019-04-28
90,26012,21765,Phone call records,2023-02-23
91,9932,12813,Prior criminal record,2023-04-18
92,36565,22550,Seen near crime scene,2020-06-03
93,6534,19864,Suspicious behaviour reported,2021-09-24
94,39768,30618,Prior criminal record,2021-06-07
95,945,5509,Suspicious behaviour reported,2021-02-16
96,39539,8520,CCTV footage,2019-06-28
97,7086,23590,Witness testimony,2019-03-05
98,16331,4595,CCTV footage,2021-11-10
99,18603,20290,Seen near crime scene,2023-04-16
100,1826,16171,Seen near crime scene,2020-09-13
101,30408,31469,Seen near crime scene,2022-04-02
102,39695,4621,Suspicious behaviour reported,2021-01-02
103,8425,20101,Witness testimony,2020-11-26
104,27335,10154,Phone call records,2022-06-24
105,24790,29596,Witness testimony,2021-07-08
106,24790,3899,Prior criminal record,2023-09-15
107,26022,16989,Suspicious behaviour reported,2021-08-25
108,5106,18902,Phone call records,2023-02-25
109,21338,444,Suspicious behaviour reported,2019-03-27
110,21338,3327,Phone call records,2021-05-06
111,11842,4939,Phone call records,2023-11-21
112,10235,4878,Witness testimony,2023-11-01
113,10235,19569,CCTV footage,2022-05-16
114,22574,29926,CCTV footage,2022-06-16
115,22574,2891,Prior criminal record,2019-06-16
116,39114,2775,Phone call records,2023-03-24
117,20635,23587,CCTV footage,2020-10-13
118,13025,26942,CCTV footage,2022-07-30
119,15619,21181,Suspicious behaviour reported,2019-05-31
120,17013,1431,Prior criminal record,2019-01-27
121,27293,17885,Suspicious behaviour reported,2020-01-24
122,36470,17669,Suspicious behaviour reported,2021-04-22
123,23868,6217,CCTV footage,2019-02-02
124,27883,4435,Witness testimony,2022-07-26
125,33267,28955,CCTV footage,2022-11-30
126,3363,8140,Phone call records,2021-11-15
127,21678,13073,Prior criminal record,2023-03-30
128,12627,17331,Prior criminal record,2020-03-14
129,35877,15046,Phone call records,2020-08-14
130,37447,25424,Seen near crime scene,2023-01-07
131,32508,23553,CCTV footage,2022-09-03
132,3543,5556,Witness testimony,2023-11-15
133,3543,20839,Phone call records,2019-04-28
134,10989,28274,CCTV footage,2021-04-26
135,3411,20560,Witness testimony,2023-08-01
136,3411,3140,CCTV footage,2020-04-13
137,2994,13904,Seen near crime scene,2023-07-02
138,25526,25437,CCTV footage,2020-03-17
139,25526,26241,CCTV footage,2020-08-16
140,7655,20768,Suspicious behaviour reported,2021-05-25
141,3970,8695,CCTV footage,2019-12-13
142,16295,15188,Prior criminal record,2019-09-09
143,9270,15210,CCTV footage,2022-12-04
144,19339,29564,Prior criminal record,2022-12-17
145,25495,27964,Witness testimony,2022-02-17
146,26229,28620,Prior criminal record,2019-12-21
147,24544,24127,Witness testimony,2022-06-23
148,36855,26830,CCTV footage,2021-09-10
149,25121,31205,CCTV footage,2019-12-02
150,5043,25755,Prior criminal record,2019-07-16
151,32404,20871,Witness testimony,2023-06-12
152,2921,6905,CCTV footage,2023-12-21
153,2921,7712,CCTV footage,2021-09-24
154,14671,6750,Seen near crime scene,2019-09-22
155,14671,9159,Prior criminal record,2023-04-22
156,10968,18098,Phone call records,2020-11-30
157,10968,14253,Phone call records,2022-01-27
158,1107,11378,Witness testimony,2019-07-06
159,3873,13390,Phone call records,2021-06-02
160,10764,27920,Seen near crime scene,2023-05-23
161,15761,15986,CCTV footage,2020-12-29
162,8060,7859,Prior criminal record,2023-10-03
163,12321,21718,Phone call records,2021-04-06
164,20616,15829,Prior criminal record,2020-02-20
165,36630,31428,Seen near crime scene,2023-06-13
166,32358,8536,CCTV footage,2021-04-13
167,9151,7641,Witness testimony,2020-06-22
168,17277,31270,CCTV footage,2022-03-09
169,4873,20349,Suspicious behaviour reported,2023-08-12
170,28551,26364,Witness testimony,2020-01-29
171,2496,7610,Witness testimony,2021-03-22
172,31966,10454,Prior criminal record,2023-01-01
173,31966,24804,Witness testimony,2019-01-22
174,7462,17948,CCTV footage,2022-08-07
175,7462,31896,Prior criminal record,2019-05-04
176,30090,6386,Prior criminal record,2021-06-13
177,30090,25506,Witness testimony,2019-04-05
178,23965,24580,Suspicious behaviour reported,2023-03-21
179,24004,22966,Phone call records,2020-02-22
180,21199,20537,Suspicious behaviour reported,2022-12-23
181,28399,29912,CCTV footage,2019-10-07
182,9050,1889,Phone call records,2019-03-17
183,39961,17200,Witness testimony,2021-01-01
184,39961,23938,Witness testimony,2022-05-05
185,29026,19400,Suspicious behaviour reported,2021-01-27
186,29026,3573,Witness testimony,2019-04-28
187,15211,4222,CCTV footage,2022-02-14
188,15211,12327,Prior criminal record,2019-07-11
189,5999,29956,Prior criminal record,2022-04-19
190,21192,18984,Suspicious behaviour reported,2021-10-18
191,37112,20961,Witness testimony,2020-07-19
192,976,24931,Phone call records,2022-11-21
193,12549,16606,Seen near crime scene,2023-10-13
194,8435,6491,Seen near crime scene,2021-12-18
195,2248,7072,Prior criminal record,2019-09-27
196,14470,21070,CCTV footage,2021-05-17
197,7147,9574,Phone call records,2020-06-13
198,19954,7256,Witness testimony,2022-04-13
199,21671,24624,Suspicious behaviour reported,2023-10-17
200,27303,14142,Witness testimony,2023-11-14
201,6492,25029,CCTV footage,2021-03-27
202,32398,15231,Prior criminal record,2023-04-23
203,7693,20670,Witness testimony,2019-12-07
204,36803,1240,Seen near crime scene,2019-07-12
205,19890,23436,Phone call records,2019-08-31
206,40155,25782,CCTV footage,2021-02-22
207,194,8195,Seen near crime scene,2020-11-16
208,36187,31179,Seen near crime scene,2022-04-11
209,23425,28184,Phone call records,2020-08-31
210,22338,316,Prior criminal record,2019-05-15
211,25615,9945,Prior criminal record,2022-03-11
212,22006,31442,Witness testimony,2021-02-05
213,30510,29951,Seen near crime scene,2022-07-18
214,22883,5719,Seen near crime scene,2021-08-16
215,38940,1571,Suspicious behaviour reported,2021-12-02
216,16262,31669,Witness testimony,2023-10-18
217,16262,26607,Prior criminal record,2022-07-11
218,32837,25429,CCTV footage,2019-03-03
219,22956,22444,Suspicious behaviour reported,2021-05-23
220,18993,20104,CCTV footage,2019-06-29
221,2578,3832,Suspicious behaviour reported,2021-02-05
222,30047,26675,Prior criminal record,2020-02-22
223,10925,26711,Suspicious behaviour reported,2022-12-24
224,2533,14869,Phone call records,2019-07-10
225,21701,19459,Witness testimony,2022-02-01
226,8000,5138,Witness testimony,2021-12-20
227,17775,3895,Prior criminal record,2019-11-01
228,36006,17827,Phone call records,2023-05-10
229,2625,17290,Seen near crime scene,2023-05-20
230,2625,32052,Witness testimony,2022-11-04
231,33838,2648,Suspicious behaviour reported,2020-12-25
232,38903,29983,Witness testimony,2022-01-25
233,25616,21807,Witness testimony,2021-09-06
234,15645,21074,Witness testimony,2020-05-01
235,4438,10463,Phone call records,2019-01-03
236,34821,2176,Suspicious behaviour reported,2019-04-15
237,34821,2074,Prior criminal record,2022-11-26
238,20203,20518,CCTV footage,2019-03-11
239,24101,24335,Witness testimony,2022-08-01
240,24101,2481,Witness testimony,2020-02-15
241,34543,20170,Suspicious behaviour reported,2019-12-19
242,25292,22400,Seen near crime scene,2020-11-07
243,25292,10865,CCTV footage,2019-01-24
244,28515,9177,Witness testimony,2023-10-09
245,28515,21626,Suspicious behaviour reported,2023-10-16
246,1215,10651,Suspicious behaviour reported,2021-08-03
247,30133,945,Witness testimony,2019-02-17
248,6406,5858,CCTV footage,2022-07-16
249,6406,25309,CCTV footage,2021-11-29
250,35837,7864,Phone call records,2019-04-21
251,35837,2216,Phone call records,2022-10-10
