Location_ID,State,City,Pincode
1,India,Ahmedabad,
2,India,Chennai,
3,India,Ludhiana,
4,India,Pune,
5,India,Delhi,
6,India,Mumbai,
7,India,Surat,
8,India,Visakhapatnam,
9,India,Bangalore,
10,India,Kolkata,
11,India,Ghaziabad,
12,India,Hyderabad,
13,India,Jaipur,
14,India,Lucknow,
15,India,Bhopal,
16,India,Patna,
17,India,Kanpur,
18,India,Varanasi,
19,India,Nagpur,
20,India,Meerut,
21,India,Thane,
22,India,Indore,
23,India,Rajkot,
24,India,Vasai,
25,India,Agra,
26,India,Kalyan,
27,India,Nashik,
28,India,Srinagar,
29,India,Faridabad,
