Victim_ID,Name,Age,Gender,Contact,Address,User_ID
1,,16,Male,,,
2,,37,Male,,,
3,,48,Female,,,
4,,49,Female,,,
5,,30,Female,,,
6,,16,Male,,,
7,,64,Female,,,
8,,78,Other,,,
9,,41,Other,,,
10,,29,Male,,,
11,,71,Male,,,
12,,26,Male,,,
13,,36,Female,,,
14,,32,Other,,,
15,,77,Female,,,
16,,51,Female,,,
17,,61,Male,,,
18,,64,Female,,,
19,,11,Male,,,
20,,62,Female,,,
21,,50,Female,,,
22,,64,Female,,,
23,,69,Female,,,
24,,77,Female,,,
25,,18,Female,,,
26,,60,Male,,,
27,,49,Male,,,
28,,41,Female,,,
29,,33,Female,,,
30,,37,Female,,,
31,,32,Female,,,
32,,60,Male,,,
33,,73,Female,,,
34,,24,Female,,,
35,,34,Female,,,
36,,32,Female,,,
37,,33,Female,,,
38,,22,Female,,,
39,,32,Female,,,
40,,69,Female,,,
41,,28,Female,,,
42,,42,Male,,,
43,,40,Male,,,
44,,44,Male,,,
45,,44,Female,,,
46,,67,Male,,,
47,,47,Female,,,
48,,38,Female,,,
49,,77,Female,,,
50,,37,Female,,,
51,,54,Female,,,
52,,38,Female,,,
53,,29,Male,,,
54,,75,Male,,,
55,,61,Female,,,
56,,49,Female,,,
57,,67,Female,,,
58,,70,Female,,,
59,,75,Female,,,
60,,53,Female,,,
61,,16,Male,,,
62,,30,Male,,,
63,,56,Male,,,
64,,19,Female,,,
65,,58,Female,,,
66,,45,Female,,,
67,,25,Male,,,
68,,22,Male,,,
69,,59,Female,,,
70,,31,Female,,,
71,,58,Female,,,
72,,53,Female,,,
73,,35,Female,,,
74,,36,Male,,,
75,,70,Female,,,
76,,52,Male,,,
77,,25,Female,,,
78,,58,Female,,,
79,,39,Female,,,
80,,54,Female,,,
81,,61,Female,,,
82,,16,Female,,,
83,,25,Female,,,
84,,72,Female,,,
85,,48,Male,,,
86,,22,Male,,,
87,,30,Female,,,
88,,11,Female,,,
89,,16,Female,,,
90,,73,Female,,,
91,,72,Female,,,
92,,60,Female,,,
93,,53,Male,,,
94,,42,Female,,,
95,,10,Male,,,
96,,51,Female,,,
97,,26,Female,,,
98,,71,Male,,,
99,,74,Female,,,
100,,13,Female,,,
101,,50,Female,,,
102,,69,Female,,,
103,,34,Female,,,
104,,38,Female,,,
105,,44,Female,,,
106,,69,Female,,,
107,,12,Female,,,
108,,21,Female,,,
109,,55,Female,,,
110,,15,Female,,,
111,,58,Female,,,
112,,37,Female,,,
113,,49,Female,,,
114,,30,Male,,,
115,,50,Female,,,
116,,64,Female,,,
117,,43,Male,,,
118,,32,Male,,,
119,,14,Male,,,
120,,70,Male,,,
121,,78,Female,,,
122,,22,Female,,,
123,,60,Female,,,
124,,44,Female,,,
125,,30,Male,,,
126,,62,Female,,,
127,,42,Female,,,
128,,73,Female,,,
129,,25,Male,,,
130,,33,Male,,,
131,,13,Female,,,
132,,39,Female,,,
133,,18,Male,,,
134,,75,Female,,,
135,,50,Female,,,
136,,71,Female,,,
137,,38,Female,,,
138,,12,Male,,,
139,,57,Female,,,
140,,47,Female,,,
141,,73,Female,,,
142,,41,Female,,,
143,,45,Female,,,
144,,79,Female,,,
145,,17,Male,,,
146,,15,Female,,,
147,,44,Female,,,
148,,28,Female,,,
149,,41,Female,,,
150,,46,Female,,,
151,,35,Female,,,
152,,67,Male,,,
153,,23,Female,,,
154,,39,Female,,,
155,,48,Female,,,
156,,71,Female,,,
157,,32,Female,,,
158,,18,Female,,,
159,,38,Female,,,
160,,27,Female,,,
161,,30,Female,,,
162,,17,Female,,,
163,,39,Female,,,
164,,66,Female,,,
165,,11,Female,,,
166,,54,Male,,,
167,,79,Male,,,
168,,12,Female,,,
169,,19,Female,,,
170,,21,Female,,,
171,,24,Male,,,
172,,58,Male,,,
173,,51,Female,,,
174,,40,Female,,,
175,,64,Male,,,
176,,66,Female,,,
177,,28,Female,,,
178,,54,Female,,,
179,,42,Female,,,
180,,72,Male,,,
181,,23,Female,,,
182,,53,Female,,,
183,,28,Female,,,
184,,27,Female,,,
185,,67,Female,,,
186,,70,Female,,,
187,,75,Female,,,
188,,66,Female,,,
189,,24,Female,,,
190,,44,Male,,,
191,,63,Female,,,
192,,18,Male,,,
193,,19,Female,,,
194,,49,Male,,,
195,,33,Female,,,
196,,56,Male,,,
197,,32,Male,,,
198,,25,Female,,,
199,,62,Female,,,
200,,56,Female,,,
201,,27,Female,,,
202,,63,Male,,,
203,,34,Female,,,
204,,16,Female,,,
205,,59,Female,,,
206,,44,Female,,,
207,,21,Female,,,
208,,59,Male,,,
209,,41,Female,,,
210,,43,Female,,,
211,,15,Male,,,
212,,34,Male,,,
213,,19,Female,,,
214,,73,Male,,,
215,,44,Male,,,
216,,14,Female,,,
217,,73,Male,,,
218,,49,Female,,,
219,,61,Male,,,
220,,68,Female,,,
221,,24,Female,,,
222,,69,Female,,,
223,,55,Female,,,
224,,49,Female,,,
225,,40,Female,,,
226,,51,Female,,,
227,,35,Female,,,
228,,65,Female,,,
229,,61,Female,,,
230,,35,Male,,,
231,,45,Male,,,
232,,32,Female,,,
233,,11,Female,,,
234,,40,Male,,,
235,,23,Female,,,
236,,14,Male,,,
237,,23,Male,,,
238,,35,Male,,,
239,,65,Male,,,
240,,51,Female,,,
241,,35,Female,,,
242,,59,Female,,,
243,,48,Female,,,
244,,18,Female,,,
245,,58,Female,,,
246,,65,Female,,,
247,,38,Female,,,
248,,77,Female,,,
249,,70,Female,,,
250,,11,Female,,,
251,,45,Female,,,
252,,71,Female,,,
253,,11,Male,,,
254,,39,Male,,,
255,,68,Male,,,
256,,76,Male,,,
257,,47,Male,,,
258,,22,Female,,,
259,,33,Male,,,
260,,55,Female,,,
261,,11,Female,,,
262,,49,Male,,,
263,,56,Female,,,
264,,69,Female,,,
265,,79,Female,,,
266,,17,Female,,,
267,,71,Female,,,
268,,16,Female,,,
269,,71,Male,,,
270,,50,Male,,,
271,,38,Male,,,
272,,39,Female,,,
273,,36,Male,,,
274,,56,Female,,,
275,,78,Male,,,
276,,21,Male,,,
277,,10,Female,,,
278,,44,Female,,,
279,,58,Male,,,
280,,45,Female,,,
281,,12,Female,,,
282,,62,Female,,,
283,,48,Female,,,
284,,55,Female,,,
285,,70,Female,,,
286,,38,Male,,,
287,,12,Female,,,
288,,30,Female,,,
289,,25,Female,,,
290,,22,Female,,,
291,,69,Female,,,
292,,31,Female,,,
293,,59,Male,,,
294,,51,Female,,,
295,,48,Male,,,
296,,62,Male,,,
297,,50,Male,,,
298,,32,Male,,,
299,,40,Female,,,
300,,55,Female,,,
301,,64,Male,,,
302,,59,Female,,,
303,,12,Female,,,
304,,30,Female,,,
305,,13,Female,,,
306,,27,Male,,,
307,,50,Female,,,
308,,66,Female,,,
309,,26,Male,,,
310,,35,Female,,,
311,,29,Female,,,
312,,32,Female,,,
313,,37,Female,,,
314,,18,Female,,,
315,,60,Male,,,
316,,42,Male,,,
317,,42,Female,,,
318,,67,Male,,,
319,,79,Female,,,
320,,41,Male,,,
321,,45,Male,,,
322,,62,Male,,,
323,,64,Female,,,
324,,67,Male,,,
325,,67,Female,,,
326,,45,Female,,,
327,,53,Female,,,
328,,68,Male,,,
329,,70,Male,,,
330,,42,Female,,,
331,,15,Female,,,
332,,57,Male,,,
333,,70,Male,,,
334,,42,Male,,,
335,,77,Female,,,
336,,40,Female,,,
337,,53,Female,,,
338,,21,Male,,,
339,,64,Female,,,
340,,36,Female,,,
341,,14,Female,,,
342,,30,Female,,,
343,,46,Male,,,
344,,48,Female,,,
345,,60,Female,,,
346,,11,Male,,,
347,,76,Female,,,
348,,55,Male,,,
349,,17,Female,,,
350,,50,Female,,,
351,,73,Female,,,
352,,44,Female,,,
353,,64,Female,,,
354,,78,Female,,,
355,,54,Female,,,
356,,25,Female,,,
357,,44,Male,,,
358,,12,Female,,,
359,,31,Female,,,
360,,14,Female,,,
361,,14,Male,,,
362,,26,Female,,,
363,,51,Female,,,
364,,11,Female,,,
365,,43,Female,,,
366,,69,Male,,,
367,,59,Male,,,
368,,31,Male,,,
369,,46,Female,,,
370,,28,Male,,,
371,,62,Female,,,
372,,36,Female,,,
373,,24,Female,,,
374,,36,Female,,,
375,,28,Female,,,
376,,29,Female,,,
377,,44,Male,,,
378,,27,Female,,,
379,,19,Female,,,
380,,36,Female,,,
381,,69,Female,,,
382,,63,Female,,,
383,,38,Female,,,
384,,73,Female,,,
385,,57,Male,,,
386,,45,Female,,,
387,,13,Female,,,
388,,59,Female,,,
389,,79,Female,,,
390,,19,Male,,,
391,,51,Female,,,
392,,54,Female,,,
393,,54,Male,,,
394,,56,Male,,,
395,,65,Female,,,
396,,35,Female,,,
397,,69,Male,,,
398,,78,Female,,,
399,,19,Female,,,
400,,67,Female,,,
401,,66,Female,,,
402,,36,Female,,,
403,,52,Male,,,
404,,77,Female,,,
405,,38,Female,,,
406,,14,Female,,,
407,,69,Male,,,
408,,52,Female,,,
409,,72,Male,,,
410,,49,Female,,,
411,,29,Male,,,
412,,46,Male,,,
413,,60,Female,,,
414,,30,Female,,,
415,,52,Female,,,
416,,23,Female,,,
417,,47,Female,,,
418,,36,Male,,,
419,,40,Male,,,
420,,12,Female,,,
421,,66,Female,,,
422,,33,Female,,,
423,,28,Male,,,
424,,40,Female,,,
425,,45,Male,,,
426,,73,Female,,,
427,,29,Female,,,
428,,33,Female,,,
429,,16,Male,,,
430,,46,Female,,,
431,,14,Female,,,
432,,76,Female,,,
433,,61,Male,,,
434,,45,Male,,,
435,,13,Female,,,
436,,53,Female,,,
437,,17,Male,,,
438,,18,Female,,,
439,,18,Female,,,
440,,79,Female,,,
441,,28,Male,,,
442,,79,Female,,,
443,,78,Female,,,
444,,22,Female,,,
445,,31,Female,,,
446,,54,Male,,,
447,,35,Female,,,
448,,64,Female,,,
449,,30,Female,,,
450,,69,Male,,,
451,,42,Female,,,
452,,68,Male,,,
453,,55,Female,,,
454,,70,Female,,,
455,,68,Female,,,
456,,56,Female,,,
457,,62,Male,,,
458,,62,Male,,,
459,,44,Female,,,
460,,58,Male,,,
461,,27,Male,,,
462,,73,Female,,,
463,,54,Male,,,
464,,59,Female,,,
465,,27,Female,,,
466,,53,Female,,,
467,,39,Male,,,
468,,67,Female,,,
469,,74,Female,,,
470,,72,Female,,,
471,,58,Male,,,
472,,76,Female,,,
473,,43,Female,,,
474,,45,Male,,,
475,,28,Female,,,
476,,67,Female,,,
477,,47,Male,,,
478,,77,Female,,,
479,,57,Male,,,
480,,54,Female,,,
481,,39,Female,,,
482,,12,Male,,,
483,,24,Female,,,
484,,17,Male,,,
485,,11,Female,,,
486,,15,Male,,,
487,,48,Male,,,
488,,32,Female,,,
489,,65,Male,,,
490,,21,Female,,,
491,,60,Male,,,
492,,40,Female,,,
493,,54,Female,,,
494,,28,Female,,,
495,,63,Female,,,
496,,21,Male,,,
497,,75,Male,,,
498,,16,Female,,,
499,,31,Female,,,
500,,67,Female,,,
501,,18,Male,,,
502,,59,Female,,,
503,,41,Female,,,
504,,70,Female,,,
505,,62,Female,,,
506,,16,Female,,,
507,,32,Female,,,
508,,10,Female,,,
509,,48,Male,,,
510,,58,Male,,,
511,,26,Female,,,
512,,65,Female,,,
513,,71,Female,,,
514,,62,Male,,,
515,,43,Female,,,
516,,69,Male,,,
517,,12,Female,,,
518,,19,Female,,,
519,,26,Female,,,
520,,66,Female,,,
521,,73,Female,,,
522,,61,Female,,,
523,,64,Male,,,
524,,34,Female,,,
525,,47,Female,,,
526,,11,Female,,,
527,,14,Female,,,
528,,38,Female,,,
529,,43,Female,,,
530,,22,Female,,,
531,,13,Male,,,
532,,33,Male,,,
533,,49,Male,,,
534,,74,Male,,,
535,,47,Female,,,
536,,68,Female,,,
537,,26,Male,,,
538,,34,Male,,,
539,,52,Male,,,
540,,59,Female,,,
541,,29,Male,,,
542,,11,Male,,,
543,,78,Female,,,
544,,24,Female,,,
545,,31,Female,,,
546,,14,Female,,,
547,,64,Male,,,
548,,73,Female,,,
549,,48,Male,,,
550,,30,Male,,,
551,,61,Female,,,
552,,13,Female,,,
553,,79,Female,,,
554,,36,Male,,,
555,,11,Female,,,
556,,37,Male,,,
557,,43,Female,,,
558,,51,Female,,,
559,,53,Female,,,
560,,71,Female,,,
561,,75,Male,,,
562,,20,Male,,,
563,,61,Female,,,
564,,27,Male,,,
565,,63,Female,,,
566,,48,Male,,,
567,,30,Female,,,
568,,73,Female,,,
569,,67,Female,,,
570,,10,Female,,,
571,,21,Female,,,
572,,75,Female,,,
